Lecturer (Alias)
ANDG
ANTS
ARKR
ASAN
AUSS
CAZZ
CACA
CHYY
CHCC
CHBB
CHCI
CHCL
CHOSS
CHKK
CHKKS
CHLL
CHOO
DACL
DELT
FABB
FAFR
FREE
GOBB
GOSS
HEHY
HECC
HOHH
HOKK
HUWW
IVIH
JAKK
JAJY
JIJH
LAYY
LASS
LAYY
LEHH
LECC
LEMK
LEKKW
LEKH
LEMM
LIBB
LEMM
LIJJ
LIYY
LOLL
LUSS
MFF
MACW
MEMU
MICO
MOKK
NGKK
NINT
ONHH
PEKK
PHNN
POCC
QUPP
RAWH
RIRC
ROKC
ROAT
SABB
SASK
SEPT
SEMM
SEBB
SHSM
SIBB
SIGG
SIBBQ
SIMM
SOBB
TABB
TaCC
TAHHS
TAHHW
TAHH
TAHJ
TAHS
TAMM
TATTG
TATT
TECC
TESS
THKK
THKKW
THCC
VOCC
WAWH
WEKK
WOMA
WOKK
WOYY
YAYL
YUYZ
YUYP
ZHZL
ZHZQ
