Day,Time,Length,Class group,Mod,Type,Room,CI,Inv,SI,Stdby
Fri,11:00,1:30,"DEB/FT/1B/21,DEB/FT/1B/22",ME0401,Inv,T621,CHSS,,,
Fri,11:00,1:30,DESM/FT/2B/21,ME0401,Inv,T622,CHSS,,,
Fri,11:00,1:30,,,SI,T613,CHSS,,,
Fri,11:00,1:30,,,SI,"T621,T622",CHSS,,,
Fri,11:00,1:30,,,SI,"T611,T612",CHSS,,,
Fri,11:00,1:30,,,SI,"T912,T913",CHSS,,,
Fri,11:00,1:30,,,SI,"T933,T934",CHSS,,,
Fri,11:00,1:30,,,SI,T12501,CHSS,,,
Fri,11:00,1:30,,,Stdby,,CHSS,,,
Fri,11:00,1:30,,,Stdby,,CHSS,,,
Fri,15:00,1:30,DEEE/FT/1A/91,ET1004,Inv,T611,TATTE,,,
Fri,15:00,1:30,"DASE/FT/3A/01,DASE/FT/3A/02",ET0433f,Inv,T612,TATTE,,,
Fri,15:00,1:30,"DASE/FT/3A/03,DASE/FT/3A/04",ET0433f,Inv,T613,TATTE,,,
Fri,15:00,1:30,"DES/FT/3A/01,DCPE/FT/3A/02",ET1409,Inv,T621,TATTE,,,
Fri,15:00,1:30,"DES/FT/2A/01,DES/FT/2A/02",ME0102,Inv,T622,TATTE,,,
Fri,15:00,1:30,"DEB/FT/2B/21,DEB/FT/2B/22",ME0104,Inv,T624,TATTE,,,
Fri,15:00,1:30,"DESM/FT/3A/01,DESM/FT/3A/02",ME0405,Inv,T625,TATTE,,,
Fri,15:00,1:30,,,SI,"T624,T625",TATTE,,,
Fri,15:00,1:30,,,SI,T613,TATTE,,,
Fri,15:00,1:30,,,SI,"T621,T622",TATTE,,,
Fri,15:00,1:30,,,SI,"T611,T612",TATTE,,,
Fri,15:00,1:30,,,Stdby,,TATTE,,,
Fri,15:00,1:30,,,Stdby,,TATTE,,,
